repository	original_path	corpus_path	title	documentclass	classification	word_count
standardgalactic/alphabet	essay/drafts/mind_at_work.tex	sources/standardgalactic/alphabet/essay/drafts/mind_at_work.tex	Mind at Work: Detecting Agentic Intelligence through the Effective Assembly Index and Praxicon Framework	article	draft	1128
standardgalactic/alphabet	essay/drafts/monograph (5).tex	sources/standardgalactic/alphabet/essay/drafts/monograph (5).tex	Mind at Work: Detecting Agency through Assembly and Action	article	draft	2453
standardgalactic/alphabet	essay/drafts/monograph (6).tex	sources/standardgalactic/alphabet/essay/drafts/monograph (6).tex	Mind at Work: Detecting Agency through Assembly and Action	article	draft	3439
standardgalactic/alphabet	essay/drafts/monograph (7).tex	sources/standardgalactic/alphabet/essay/drafts/monograph (7).tex	Mind at Work: Detecting Agency through Assembly and Action	article	draft	2058
standardgalactic/alphabet	essay/drafts/monograph (8).tex	sources/standardgalactic/alphabet/essay/drafts/monograph (8).tex	Mind at Work: Detecting Agency through Assembly and Action	article	draft	8913
standardgalactic/alphabet	example/draft/recursive-continuation.tex	sources/standardgalactic/alphabet/example/draft/recursive-continuation.tex	Recursive Continuation Autopoiesis, Sympoiesis, and the Compression of Self-Modification	article	draft	11508
standardgalactic/alphabet	example/recursive-continuation.tex	sources/standardgalactic/alphabet/example/recursive-continuation.tex	Recursive Continuation Autopoiesis, Sympoiesis, and the Compression of Self-Modification	article	draft	18960
standardgalactic/alphabet	framework/beyond_prediction_error.tex	sources/standardgalactic/alphabet/framework/beyond_prediction_error.tex	Beyond Prediction Error: Toward an Ecological and Topological Theory of Cognition	report	draft	20836
standardgalactic/alphabet	framework/drafts/everything_is_a_clipboard.tex	sources/standardgalactic/alphabet/framework/drafts/everything_is_a_clipboard.tex		book	draft	28676
standardgalactic/alphabet	framework/everything_is_a_clipboard.tex	sources/standardgalactic/alphabet/framework/everything_is_a_clipboard.tex		book	draft	31639
standardgalactic/alphabet	monograph/essay.tex	sources/standardgalactic/alphabet/monograph/essay.tex	Consciousness as Gait: The RSVP--CPG Framework for Cyclical Cognition, Memory, and Sleep	article	draft	15546
standardgalactic/alphabet	physics/cosmology/admissible-geometry-v0.tex	sources/standardgalactic/alphabet/physics/cosmology/admissible-geometry-v0.tex	% Admissibility Geometry and the MOND Transition [0.4em] Reconstruction Obstruction as an Alternative to Dark Matter	article	draft	10765
standardgalactic/alphabet	physics/cosmology/admissible-geometry-v1.tex	sources/standardgalactic/alphabet/physics/cosmology/admissible-geometry-v1.tex	% Admissibility Geometry and the MOND Transition [0.4em] Reconstruction Obstruction as an Alternative to Dark Matter	article	draft	13462
standardgalactic/alphabet	physics/cosmology/admissible-geometry.tex	sources/standardgalactic/alphabet/physics/cosmology/admissible-geometry.tex	% Admissibility Geometry and the MOND Transition [0.4em] Reconstruction Obstruction as an Alternative to Dark Matter	article	draft	16150
standardgalactic/alphabet	physics/processing/univalent-photonics.tex	sources/standardgalactic/alphabet/physics/processing/univalent-photonics.tex	Univalent Photonics 0.5em Coherence, Transport, and Admissibility Geometry	book	draft	15353
standardgalactic/alphabet	physics/univalent-photonics.tex	sources/standardgalactic/alphabet/physics/univalent-photonics.tex	Univalent Photonics 0.5em Coherence, Transport, and Admissibility Geometry	book	draft	15353
standardgalactic/alphabet	processing/Abstraction as Reduction.tex	sources/standardgalactic/alphabet/processing/Abstraction as Reduction.tex	Abstraction as Reduction: A Unified Account of Evaluation, Structure, and Proof	article	draft	38914
standardgalactic/alphabet	processing/Bootstrapping Utopia.tex	sources/standardgalactic/alphabet/processing/Bootstrapping Utopia.tex	Bootstrapping Utopia 0.5em A Constraint-First Blueprint for Civilizational Persistence	book	draft	33959
standardgalactic/alphabet	processing/SITH Theory - draft 01.tex	sources/standardgalactic/alphabet/processing/SITH Theory - draft 01.tex	Substrate Independent Thinking Hypothesis (SITH): Life, Meaning, and the Autocatalytic Closure of Information	article	draft	7647
standardgalactic/alphabet	processing/SITH Theory - draft 02.tex	sources/standardgalactic/alphabet/processing/SITH Theory - draft 02.tex	Substrate Independent Thinking Hypothesis (SITH): Life, Meaning, and the Autocatalytic Closure of Information	article	draft	8146
standardgalactic/alphabet	processing/abstraction-draft-04.tex	sources/standardgalactic/alphabet/processing/abstraction-draft-04.tex	Abstraction as Reduction: Philosophical Version	article	draft	5475
standardgalactic/alphabet	projects/processing/draft-01.tex	sources/standardgalactic/alphabet/projects/processing/draft-01.tex	MAGI and the Geometry of Learning: A Stratified Riemannian Framework Extending SGDM	article	draft	8049
standardgalactic/alphabet	projects/processing/draft-02.tex	sources/standardgalactic/alphabet/projects/processing/draft-02.tex	MAGI as a Geometric Generalization of Momentum-Based Optimization	article	draft	6665
standardgalactic/alphabet	working/attention-essay.tex	sources/standardgalactic/alphabet/working/attention-essay.tex	The Coordinate-System Error: Misdiagnosis in the Theories of Attention, Efficiency, and Technological Progress	article	draft	12559
standardgalactic/alphabet	working/constraint-propagation.tex	sources/standardgalactic/alphabet/working/constraint-propagation.tex	Propagating Constraint Fields and Dynamic Structural Redistribution: Toward a Field-Theoretic Interpretation of Neural Heterogeneity and Collective Cell Migration	article	draft	14587
standardgalactic/alphabet	working/de-architechtura.tex	sources/standardgalactic/alphabet/working/de-architechtura.tex		memoir	draft	5172
standardgalactic/alphabet	working/drafts/constraint-propagation.tex	sources/standardgalactic/alphabet/working/drafts/constraint-propagation.tex	Propagating Constraint Fields and Dynamic Structural Redistribution: Toward a Field-Theoretic Interpretation of Neural Heterogeneity and Collective Cell Migration	article	draft	10584
standardgalactic/alphabet	working/drafts/function_survives_collapse.tex	sources/standardgalactic/alphabet/working/drafts/function_survives_collapse.tex	Function Survives Collapse [0.4em] Admissibility, Entropy Flow, and the Geometry of Persistent Computation	article	draft	19608
standardgalactic/alphabet	working/function_survives_collapse.tex	sources/standardgalactic/alphabet/working/function_survives_collapse.tex	Function Survives Collapse [0.4em] Admissibility, Entropy Flow, and the Geometry of Persistent Computation	article	draft	28586
standardgalactic/animal-social	background/reachability.tex	sources/standardgalactic/animal-social/background/reachability.tex		article	draft	9590
standardgalactic/animal-social	reachability.tex	sources/standardgalactic/animal-social/reachability.tex		article	draft	9590
standardgalactic/antivenom	Aesthetic Saturation.tex	sources/standardgalactic/antivenom/Aesthetic Saturation.tex	Aesthetic Saturation and the Erosion of Voluntary Attention in Algorithmic Social Media	article	draft	5303
standardgalactic/antivenom	Against Namespace Laundering - draft 01.tex	sources/standardgalactic/antivenom/Against Namespace Laundering - draft 01.tex	Against Namespace Laundering	article	draft	4736
standardgalactic/antivenom	Against Namespace Laundering - draft 02.tex	sources/standardgalactic/antivenom/Against Namespace Laundering - draft 02.tex	Against Namespace Laundering	article	draft	9442
standardgalactic/antivenom	Induced Homogeneity.tex	sources/standardgalactic/antivenom/Induced Homogeneity.tex	Induced Homogeneity Aspirational Pages and the Collapse of Meaning Under Engagement Optimization	article	draft	9206
standardgalactic/antivenom	active-inference/surprise-minimization-draft-01.tex	sources/standardgalactic/antivenom/active-inference/surprise-minimization-draft-01.tex	Complexity-Weighted Surprise Minimization as a Variational Field Theory: Continuous, Functional-Analytic, and Information-Geometric Foundations	article	draft	6664
standardgalactic/antivenom	diatribe - draft 01.tex	sources/standardgalactic/antivenom/diatribe - draft 01.tex	Facebook and the Degradation of Social Reality: Advertising, Attention, and Structural Harm	article	draft	2294
standardgalactic/antivenom	essay/admissibility_groupoids.tex	sources/standardgalactic/antivenom/essay/admissibility_groupoids.tex	Admissibility and the Structure of Physical Symmetry: From Groups to Groupoids	article	draft	6945
standardgalactic/antivenom	essay/draft-01/monograph.tex	sources/standardgalactic/antivenom/essay/draft-01/monograph.tex	Divided We Stand: RSVP and the Limits of Coherence in AI Safety	article	draft	1524
standardgalactic/antivenom	event-history-draft-01.tex	sources/standardgalactic/antivenom/event-history-draft-01.tex	The Deliberate Collapse of Cognitive Multiplicity: Event-Driven Intelligence, Spherepop, and the Reckless Design of Big Tech Interfaces	article	draft	3051
standardgalactic/antivenom	event-history-draft-02.tex	sources/standardgalactic/antivenom/event-history-draft-02.tex	The Deliberate Collapse of Cognitive Multiplicity: Event-Driven Intelligence, Spherepop, and the Reckless Design of Big Tech Interfaces	article	draft	20014
standardgalactic/antivenom	opinion/Aesthetic Saturation.tex	sources/standardgalactic/antivenom/opinion/Aesthetic Saturation.tex	Aesthetic Saturation and the Erosion of Voluntary Attention in Algorithmic Social Media	article	draft	5303
standardgalactic/antivenom	resources/processing/draft/plenumhub-polyxan.tex	sources/standardgalactic/antivenom/resources/processing/draft/plenumhub-polyxan.tex	PlenumHub / Polyxan Toward a Source-First Publishing Substrate	article	draft	11417
standardgalactic/antivenom	resources/processing/in_progress/draft/main.tex	sources/standardgalactic/antivenom/resources/processing/in_progress/draft/main.tex		book	draft	66
standardgalactic/antivenom	rhetoric/Friction as Inoculation - Draft 01.tex	sources/standardgalactic/antivenom/rhetoric/Friction as Inoculation - Draft 01.tex	Friction as Inoculation: Holistic Training Under Bounded Difficulty	article	draft	8337
standardgalactic/antivenom	rhetoric/Friction as Inoculation - Draft 02.tex	sources/standardgalactic/antivenom/rhetoric/Friction as Inoculation - Draft 02.tex	Friction as Inoculation: [4pt] Null Preservation, Bounded Difficulty, [2pt] and the Architecture of Cognitive Resilience	article	draft	6353
standardgalactic/arabic-flashcards	protocol-zero-draft-01.tex	sources/standardgalactic/arabic-flashcards/protocol-zero-draft-01.tex	PROTOCOL ZERO [6pt] The Algorithmic Deconstruction of Arabic [2pt] A Manifesto in Ten Lectures	article	draft	791
standardgalactic/arabic-flashcards	protocol-zero.tex	sources/standardgalactic/arabic-flashcards/protocol-zero.tex	PROTOCOL ZERO [6pt] The Algorithmic Deconstruction of Arabic [2pt] A Manifesto in Ten Lectures	article	draft	5564
standardgalactic/calculus	Calculus - main text - draft 01.tex	sources/standardgalactic/calculus/Calculus - main text - draft 01.tex	Calculus as the Geometry of Relationship and Controlled Change A Structural Textbook on Differential and Integral Theory	book	draft	24348
standardgalactic/calculus	baseline/computing_as_flow.tex	sources/standardgalactic/calculus/baseline/computing_as_flow.tex	Flow Computing [0.4em] Wavefronts, Invocation, and the Logically Determined Workflow	article	draft	18038
standardgalactic/calculus	baseline/draft/computing_as_flow.tex	sources/standardgalactic/calculus/baseline/draft/computing_as_flow.tex	Flow Computing [0.4em] Wavefronts, Invocation, and the Logically Determined Workflow	article	draft	14228
standardgalactic/calculus	processing/economics-of-irreversibility.tex	sources/standardgalactic/calculus/processing/economics-of-irreversibility.tex	The Economics of Irreversibility [0.3em] From Event Cost to Historical Field: Three Scales of a Single Quantity	article	draft	4446
standardgalactic/calculus	working/Identity_After_Collapse.tex	sources/standardgalactic/calculus/working/Identity_After_Collapse.tex		amsbook	draft	23754
standardgalactic/calculus	working/attention-essay.tex	sources/standardgalactic/calculus/working/attention-essay.tex	The Coordinate-System Error: Misdiagnosis in the Theories of Attention, Efficiency, and Technological Progress	article	draft	12559
standardgalactic/computation	abstraction/flyxion_atlas.tex	sources/standardgalactic/computation/abstraction/flyxion_atlas.tex	% The Flyxion Dependency Atlas [0.4em] Definitions, Theorems, Machinery, Applications, and Equivalence Candidates Across the Corpus	article	draft	6588
standardgalactic/computation	abstraction/volume_zero.tex	sources/standardgalactic/computation/abstraction/volume_zero.tex	% Volume 0 [0.5em] Consistency Document [0.3em] Canonical Symbols, Proof Sketches, Equivalence Briefs, and the Master Claim Formalization [1em] Fifteen-Volume Curriculum --- Pre-Publication Archive	book	draft	6531
standardgalactic/computation	histories-become-operators.tex	sources/standardgalactic/computation/histories-become-operators.tex	Histories Become Operators: Biological Notes on Retained Admissibility	article	draft	5570
standardgalactic/computation	monotonic-continuation.tex	sources/standardgalactic/computation/monotonic-continuation.tex	Monotonic Continuation: Intelligence Across Unequal Timescales	article	draft	9922
standardgalactic/computation	processing/draft/generative_continuation_geometry.tex	sources/standardgalactic/computation/processing/draft/generative_continuation_geometry.tex	Generative Continuation Geometry [0.3em] Working Draft	report	draft	8073
standardgalactic/computation	processing/histories-become-operators.tex	sources/standardgalactic/computation/processing/histories-become-operators.tex	Histories Become Operators: Biological Notes on Retained Admissibility	article	draft	5570
standardgalactic/computation	processing/monotonic-continuation.tex	sources/standardgalactic/computation/processing/monotonic-continuation.tex	Monotonic Continuation: Intelligence Across Unequal Timescales	article	draft	9922
standardgalactic/computation	version-control/git-series-plan.tex	sources/standardgalactic/computation/version-control/git-series-plan.tex	Learn to Reason About History [0.3em] A Seven-Volume Git Curriculum [0.3em] Series Plan and Chapter Outlines	book	draft	9437
standardgalactic/cosmology	working/admissibility-interface.tex	sources/standardgalactic/cosmology/working/admissibility-interface.tex	Quadratic Gravity as a Derived Interface Theory: Admissibility Manifolds, Projection Geometry, and the Emergence of Observable Physics	article	draft	14790
standardgalactic/cosmology	working/distinction-geometry-core.tex	sources/standardgalactic/cosmology/working/distinction-geometry-core.tex	Distinction Geometry: Projection, Reconstruction Defect, and the Interface-Native Metric [0.5em] Mathematical Core	article	draft	7895
standardgalactic/cosmology	working/flyxion-frameworks.tex	sources/standardgalactic/cosmology/working/flyxion-frameworks.tex		book	draft	13037
standardgalactic/cosmology	working/resource-geometry.tex	sources/standardgalactic/cosmology/working/resource-geometry.tex	Computation, Constraint, and Resource Geometry in the Flash--Reluctance Engine	article	draft	7084
standardgalactic/diagnostic-coordinates	monograph.tex	sources/standardgalactic/diagnostic-coordinates/monograph.tex	Executable Diagnostic Coordinates: A Reference Implementation of the Repair-Warrant Objective	article	draft	2142
standardgalactic/gamma-waves	essay/processing/draft-01/essay.tex	sources/standardgalactic/gamma-waves/essay/processing/draft-01/essay.tex	The RSVP Treatise: Semantic Infrastructure and Modular Computation in an Entropy-Respecting Universe	article	draft	8127
standardgalactic/gamma-waves	essay/processing/draft-02/essay.tex	sources/standardgalactic/gamma-waves/essay/processing/draft-02/essay.tex	The RSVP Treatise: Semantic Infrastructure and Modular Computation in an Entropy-Respecting Universe	article	draft	9018
standardgalactic/gamma-waves	monograph/draft-01/monograph.tex	sources/standardgalactic/gamma-waves/monograph/draft-01/monograph.tex	Master Portfolio: Interdisciplinary Projects in Physics, Computation, and Semantics	memoir	draft	3987
standardgalactic/gamma-waves	monograph/draft-02/monograph.tex	sources/standardgalactic/gamma-waves/monograph/draft-02/monograph.tex	Master Portfolio: Interdisciplinary Projects in Physics, Computation, and Semantics	memoir	draft	3869
standardgalactic/gamma-waves	monograph/draft-03/monograph.tex	sources/standardgalactic/gamma-waves/monograph/draft-03/monograph.tex	Master Portfolio: Interdisciplinary Projects in Physics, Computation, and Semantics	memoir	draft	4129
standardgalactic/gamma-waves	monograph/draft-04/monograph.tex	sources/standardgalactic/gamma-waves/monograph/draft-04/monograph.tex	Master Portfolio: Interdisciplinary Projects in Physics, Computation, and Semantics	memoir	draft	5954
standardgalactic/gamma-waves	projects/draft-01/essay.tex	sources/standardgalactic/gamma-waves/projects/draft-01/essay.tex	Functorial Integration of Bennett's Mechanistic AI Model into RSVP Theory: From Non-Diverging Gr"uneisen Parameters to Self-Aware Agents	article	draft	1519
standardgalactic/gamma-waves	projects/draft-02/essay.tex	sources/standardgalactic/gamma-waves/projects/draft-02/essay.tex	From RSVP Fields to Mechanistic Self-Aware Machines	article	draft	2469
standardgalactic/gamma-waves	projects/draft-03/essay.tex	sources/standardgalactic/gamma-waves/projects/draft-03/essay.tex	Functorial Integration of Bennett's Mechanistic AI Model into RSVP Theory: From Non-Diverging Gr\"uneisen Parameters to Self-Aware Agents	article	draft	2962
standardgalactic/gamma-waves	projects/draft-04/essay.tex	sources/standardgalactic/gamma-waves/projects/draft-04/essay.tex	From RSVP Fields to Mechanistic Self-Aware Machines	article	draft	2985
standardgalactic/gamma-waves	projects/draft-05/essay.tex	sources/standardgalactic/gamma-waves/projects/draft-05/essay.tex	From RSVP Fields to Mechanistic Self-Aware Machines	article	draft	2989
standardgalactic/haplopraxis	under-construction/developmental-opacity.tex	sources/standardgalactic/haplopraxis/under-construction/developmental-opacity.tex	Developmental Opacity	article	draft	3469
standardgalactic/human	projects/textbot.tex	sources/standardgalactic/human/projects/textbot.tex	Constraint Before Image [0.5em] A Text Physics Engine for Semantic Analysis and Multi-Modal Projection	article	draft	8127
standardgalactic/human	projects/zebra-architecture.tex	sources/standardgalactic/human/projects/zebra-architecture.tex	Zebra: Distributed Semantic Infrastructure and the Functorial Realization of Text as Collaborative Media	article	draft	6809
standardgalactic/kitbash	asymptotic_safety.tex	sources/standardgalactic/kitbash/asymptotic_safety.tex	Constraints of Asymptotically Safe Quantum Gravity on Scalar-Tensor Theories and Cosmic Strings	article	draft	17056
standardgalactic/kitbash	cosmology/Axial Holonomy - draft 01.tex	sources/standardgalactic/kitbash/cosmology/Axial Holonomy - draft 01.tex	Axial Holonomy and Visibility-Weighted Coherence: Cosmic Birefringence in the Relativistic Scalar--Vector Plenum	article	draft	10407
standardgalactic/kitbash	cosmology/Axial Holonomy - draft 02.tex	sources/standardgalactic/kitbash/cosmology/Axial Holonomy - draft 02.tex	Axial Holonomy and Visibility-Weighted Coherence: [4pt] Cosmic Birefringence in the Relativistic Scalar--Vector Plenum	article	draft	4934
standardgalactic/kitbash	cosmology/Axial Holonomy - draft 03.tex	sources/standardgalactic/kitbash/cosmology/Axial Holonomy - draft 03.tex	Axial Holonomy and Visibility-Weighted Coherence: [4pt] Cosmic Birefringence in the Relativistic Scalar--Vector Plenum	article	draft	7782
standardgalactic/kitbash	cosmology/asymptotic_safety.tex	sources/standardgalactic/kitbash/cosmology/asymptotic_safety.tex	Constraints of Asymptotically Safe Quantum Gravity on Scalar-Tensor Theories and Cosmic Strings	article	draft	17056
standardgalactic/kitbash	cosmology/essay/draft-01/essay.tex	sources/standardgalactic/kitbash/cosmology/essay/draft-01/essay.tex	Roads Not Taken: Encoding Ratchets in Cinema, Computation, and Cosmology	book	draft	12420
standardgalactic/kitbash	cosmology/working/draft-03/incompleteness.tex	sources/standardgalactic/kitbash/cosmology/working/draft-03/incompleteness.tex	Incompleteness, Null Signals, and the Cosmological Plenum	article	draft	3523
standardgalactic/kitbash	cosmology/working/draft-04/incompleteness.tex	sources/standardgalactic/kitbash/cosmology/working/draft-04/incompleteness.tex	Incompleteness, Null Signals, and the Cosmological Plenum	article	draft	4026
standardgalactic/kitbash	cosmology/working/draft-05/incompleteness.tex	sources/standardgalactic/kitbash/cosmology/working/draft-05/incompleteness.tex	Incompleteness, Null Signals, and the Cosmological Plenum	article	draft	1551
standardgalactic/kitbash	draft/geometry-as-computational-infrastructure.tex	sources/standardgalactic/kitbash/draft/geometry-as-computational-infrastructure.tex	Orthodromic Infrastructure Blueprint [0.5em] A Long-Term Architectural Specification for Civil Convergence	book	draft	25393
standardgalactic/kitbash	economics/essay.tex	sources/standardgalactic/kitbash/economics/essay.tex	Recursive Futarchy	article	draft	9989
standardgalactic/kitbash	essay/draft-01/paper.tex	sources/standardgalactic/kitbash/essay/draft-01/paper.tex	Entropic Paradoxes in Big Tech Critique: A Formal Analysis Through the RSVP Framework	article	draft	1643
standardgalactic/kitbash	essay/draft-02/paper.tex	sources/standardgalactic/kitbash/essay/draft-02/paper.tex	Entropic Paradoxes in Big Tech Critique: A Formal Analysis Through the RSVP Framework	article	draft	1881
standardgalactic/kitbash	essay/draft-03/paper.tex	sources/standardgalactic/kitbash/essay/draft-03/paper.tex	Entropic Paradoxes in Big Tech Critique: A Formal Analysis Through the RSVP Framework	article	draft	2712
standardgalactic/kitbash	operations/essay-02/draft-01.tex	sources/standardgalactic/kitbash/operations/essay-02/draft-01.tex	The Role of Silence in Knowledge Systems	article	draft	4386
standardgalactic/kitbash	operations/essay-02/draft-02.tex	sources/standardgalactic/kitbash/operations/essay-02/draft-02.tex	The Role of Silence in Knowledge Systems	article	draft	3713
standardgalactic/kitbash	operations/essay-02/draft-03.tex	sources/standardgalactic/kitbash/operations/essay-02/draft-03.tex	The Role of Silence in Knowledge Systems	article	draft	3402
standardgalactic/kitbash	operations/essay-03/draft-01/essay.tex	sources/standardgalactic/kitbash/operations/essay-03/draft-01/essay.tex	Chokepoint Capitalism in Knowledge Infrastructures: An RSVP-Theoretic Analysis	article	draft	2878
standardgalactic/kitbash	paperbot/draft/paperbot-parliament.tex	sources/standardgalactic/kitbash/paperbot/draft/paperbot-parliament.tex	Paperbot Parliament: A Multi-Agent Framework for Distinction-Centered Document Analysis [0.6em] Concept, Formal Theory, Algorithm, and First Experimental Run	article	draft	5301
standardgalactic/kitbash	physics/constraint-accumulation-draft-01.tex	sources/standardgalactic/kitbash/physics/constraint-accumulation-draft-01.tex	Time as Irreversible Constraint Accumulation: An Event-Based Interpretation of Proper Time, Entropy, and Dissipative Structure	article	draft	2601
standardgalactic/kitbash	physics/working/RSVP_Study_Guide - incomplete.tex	sources/standardgalactic/kitbash/physics/working/RSVP_Study_Guide - incomplete.tex	RSVP Study Guide: A Comprehensive Framework for Relativistic Scalar Vector Plenum	report	draft	7501
standardgalactic/kitbash	physics/working/RSVP_Study_Guide.tex	sources/standardgalactic/kitbash/physics/working/RSVP_Study_Guide.tex	RSVP Study Guide: A Comprehensive Framework for Relativistic Scalar Vector Plenum	report	draft	11782
standardgalactic/kitbash	physics/working/draft-01/RSVP_Study_Guide.tex	sources/standardgalactic/kitbash/physics/working/draft-01/RSVP_Study_Guide.tex	RSVP Study Guide: A Comprehensive Framework for Relativistic Scalar Vector Plenum	report	draft	5716
standardgalactic/kitbash	processing/Draft 1.tex	sources/standardgalactic/kitbash/processing/Draft 1.tex	The Politics of Oracle-Free Evaluation: Constraint, Generativity, and the Problem of Validation	article	draft	3716
standardgalactic/kitbash	processing/Draft 2.tex	sources/standardgalactic/kitbash/processing/Draft 2.tex	The Politics of Oracle-Free Evaluation: Constraint, Generativity, and the Problem of Validation	article	draft	3312
standardgalactic/kitbash	processing/Draft 3.tex	sources/standardgalactic/kitbash/processing/Draft 3.tex	The Politics of Oracle-Free Evaluation: Constraint, Generativity, and the Problem of Validation	article	draft	2352
